"s-product-card-image href","s-product-card-image-cover src","s-product-card-promotion-title","s-product-card-content-title","s-product-card-sale-price","s-product-card-sale-price 2","s-product-card-rating"
"https://karazs.com/EXerdpR","https://cdn.salla.sa/DGwjPD/a43d8450-672f-4d35-add3-5fd6a515a80c-370.47673750718x500-pmgpl4cmV6AxrNcrSurd2dzTJCrfT5XvRbnjL1hV.jpg","العرض لمدة محدوده","عباية العيد","١٧٩","٣٨٩","5"
"https://karazs.com/RvXpqmj","https://cdn.salla.sa/DGwjPD/76514640-fdf8-4d03-8afd-4b00cb05c6f1-382.46205733558x500-Ei5Iq4Z2tn9xpu4zKPAsDN3BfcYBuxxeH5eOlxjJ.jpg","كولكشن العيد","عباية روز","١٧٩","٣٩٩",""
"https://karazs.com/WzXNWbV","https://cdn.salla.sa/DGwjPD/1daf73a9-a212-4d0f-b053-e4d10927bdb1-367.82354849173x500-12O5eHt28G5YMZ1xjUg0Nwu73oxVlszq7D9liEVP.jpg","كولكشن العيد","عباية فبراير","١٨٩","٤٥٠","5"
"https://karazs.com/dbKlEEv","https://cdn.salla.sa/DGwjPD/44275502-3ac1-4dd7-9881-168458ab6dd5-379.13741223671x500-l5XaClLEQmwxdLpF9PrKX3po1BDs87MTBOcJJjps.jpg","","عباية ميرا","١٥٩","٣٥٠",""
"https://karazs.com/lvrxOQa","https://cdn.salla.sa/DGwjPD/295a0256-9d01-4e36-a1d5-a491abd1a413-338.03986710963x500-Q0p44Jk55KPTN3kIhYO7amxXGuY8TPFrzSBA4QVn.jpg","","بكج العايله 5 نقابات","٥٩","٩٥",""
"https://karazs.com/dbdoOrg","https://cdn.salla.sa/DGwjPD/ec99a87b-4b28-4082-8188-3230a57684ce-406.94006309148x500-gTVdE0Za8jl4ibuGLhTyEeloMG6QfXSXXV11sQY2.jpg","الأكثر مبيعا","عباية كرز دانتيل","١٦٩","٢٩٩","5"
"https://karazs.com/PDzYBDW","https://cdn.salla.sa/DGwjPD/362e1531-582c-4aff-81ad-e2f414d8eace-387.38738738739x500-1ZKmxvkaduArxse7WgU7c0afEbHCBqnJiwIzFPHt.jpg","كولكشن العيد","عباية كرز ورد","١٥٩","٢٩٠",""
"https://karazs.com/KRbvDVa","https://cdn.salla.sa/DGwjPD/a50cb699-82cb-401b-a755-b5d1de0e8c22-381.77940280317x500-gqZJcsKvQcHhrqEknzBolbiwp6uWQOvOx0HsMPwW.jpg","الأكثر مبيعا","عباية الانيقه - دانتيل","١٧٩","٣٢٠","5"
"https://karazs.com/ngaeRVa","https://cdn.salla.sa/DGwjPD/cd2dbf1c-e62c-4223-9a4c-c7dfce6aaa9c-416.12903225806x500-WJtfCRYn85TDrb0p1ynN2ILVVkHnffdsXc9WoOLJ.jpg","متوفر","عباية يوليو - دانتيل","١٧٩","٣٥٠","5"
"https://karazs.com/wABWwoX","https://cdn.salla.sa/DGwjPD/b9e7de98-e044-4a0e-9d42-117e1af5d1e2-343.53226295062x500-Lg8AJCRWbv6BU5WEPpq8rRvtzDY082iDuJGVeKNe.jpg","كولكشن العيد","عباية ورد","١٦٩","٣٧٠","5"
"https://karazs.com/NAWQWBv","https://cdn.salla.sa/DGwjPD/92bbf780-0f21-42e9-86b6-aa65526a50d8-390.32655576094x500-s2PmHapIBPh4Dfl9v7R8NjIntiIxuCnHxRvsS5RT.jpg","كولكشن العيد","عباية مارس ورد","١٥٩","٢٩٠",""
"https://karazs.com/wWgOoKN","https://cdn.salla.sa/DGwjPD/d2a76b00-4964-4afd-92cb-7bfe9c084e0f-379.57446808511x500-Q9Ak4IvksjLAJk5aXmK7xkKw3qhfAzonzT1yVbPq.jpg","","نقاب","١٩","٣٠","5"
"https://karazs.com/bwzxdXa","https://cdn.salla.sa/DGwjPD/a1ba197c-5a0b-463f-b801-3463a3b1906e-410x500-HN5TuleeuqGuLerFC34JzItYDxQ8saaA7sUiIthY.jpg","الأكثر مبيعا","عباية كرز اسود","١٥٩","٢٨٠","4.9"
"https://karazs.com/jZNQYzY","https://cdn.salla.sa/DGwjPD/50cea685-dfe8-42f1-9f40-3cd7f830afb4-389.85148514851x500-UI9yc17H9oPbJxvoCajAzF0TfAcAhzf2h16JoXbV.jpg","الأكثر مبيعاً .","عباية ديسمبر","١٥٩","٣٣٠","5"
"https://karazs.com/azKARNz","https://cdn.salla.sa/DGwjPD/43b14af9-f7b3-427b-8df1-38247a39a2bb-365.85365853659x500-nU8MyCl7PkNWoWpUdSthd61wUZUTRNYhnVCaFHHc.jpg","عرض لفترة محدوده","عباية مارس أكمام جوخ","١٥٩","٢٩٠",""
"https://karazs.com/BrjWyPV","https://cdn.salla.sa/DGwjPD/aa312f46-3dbb-463f-a6a4-24af98cb827d-417.47572815534x500-J0zuVPtQ2UdnANsKSJHtIdBLo7seX7uzEi8I4NpP.jpg","الأكثر مبيعا","عباية كرز اللون بني","١٥٩","٢٨٠","4.8"
"https://karazs.com/dbWAvBj","https://cdn.salla.sa/DGwjPD/dbc353f9-d830-4840-aa70-82b16efac223-379.85865724382x500-xL5rU56nae4GpvtKXEzqGdvPzh9MDTdRO0AdtrS0.jpg","عرض ٢٤ ساعه","كرز اسود جوخ","١٥٩","٣٠٠","5"
"https://karazs.com/RvgepmY","https://cdn.salla.sa/DGwjPD/8133fab2-d10f-49e5-aaa8-531a4ed19db4-500x500-YU29F4BTqmWRWz1YgLtkClmBMUCF1rgR8haFauRW.jpg","جديد","عباية رهف جوخ","١٥٩","٣٩٠","5"
"https://karazs.com/wWxmrzm","https://cdn.salla.sa/DGwjPD/f9057b49-ec06-40fe-ae59-4b0ae02c1c19-369.2714453584x500-wytsxECY4TpiZ8jeB370gBy32lswuxn9IQeHTScr.jpg","الأكثر مبيعاً","عباية مارس أسود","١٥٩","٢٨٠","5"
