"s-product-card-image href","s-product-card-image-cover src","s-product-card-content-title","s-product-card-sale-price","s-product-card-sale-price 2","s-product-card-rating","s-product-card-promotion-title"
"https://karazs.com/wWgOoKN","https://cdn.salla.sa/DGwjPD/d2a76b00-4964-4afd-92cb-7bfe9c084e0f-379.57446808511x500-Q9Ak4IvksjLAJk5aXmK7xkKw3qhfAzonzT1yVbPq.jpg","نقاب","١٩","٣٠","5",""
"https://karazs.com/jZNQYzY","https://cdn.salla.sa/DGwjPD/50cea685-dfe8-42f1-9f40-3cd7f830afb4-389.85148514851x500-UI9yc17H9oPbJxvoCajAzF0TfAcAhzf2h16JoXbV.jpg","عباية ديسمبر","١٥٩","٣٣٠","5","الأكثر مبيعاً ."
"https://karazs.com/azKARNz","https://cdn.salla.sa/DGwjPD/43b14af9-f7b3-427b-8df1-38247a39a2bb-365.85365853659x500-nU8MyCl7PkNWoWpUdSthd61wUZUTRNYhnVCaFHHc.jpg","عباية مارس أكمام جوخ","١٥٩","٢٩٠","","عرض لفترة محدوده"
"https://karazs.com/dbWAvBj","https://cdn.salla.sa/DGwjPD/dbc353f9-d830-4840-aa70-82b16efac223-379.85865724382x500-xL5rU56nae4GpvtKXEzqGdvPzh9MDTdRO0AdtrS0.jpg","كرز اسود جوخ","١٥٩","٣٠٠","5","عرض ٢٤ ساعه"
"https://karazs.com/RvgepmY","https://cdn.salla.sa/DGwjPD/8133fab2-d10f-49e5-aaa8-531a4ed19db4-500x500-YU29F4BTqmWRWz1YgLtkClmBMUCF1rgR8haFauRW.jpg","عباية رهف جوخ","١٥٩","٣٩٠","5","جديد"
"https://karazs.com/jZOKpDd","https://cdn.salla.sa/DGwjPD/7d824307-6039-4edb-8458-97ff429b4a3d-396.19164619165x500-V91dvTtQxIdxkmwoMsgCc2WLzOcyhvBfYypwuNPg.jpg","K10","١٦٩","٢٨٠","5",""
"https://karazs.com/lveKxNW","https://cdn.salla.sa/DGwjPD/2206b6b7-cda1-48ab-bfc5-3d8d2e8c0a71-378.26086956522x500-e4Xo1FC6x4d3lZaCcuH3XjUg2gBvhHbU2U7PNmh0.jpg","عباية نوفمبر","١٥٩","٣٢٠","","جديد شتوي"
"https://karazs.com/xvdPjgG","https://cdn.salla.sa/DGwjPD/b7f566e4-5829-4fc8-973b-af831195ccba-375x500-YGsUKDLvXYTg9HcSzOdwbylVWv97sfUVOIQL8l5b.jpg","عباية كرز دانتيل شتويه مخمل","١٧٩","٣٢٠","5","جديد شتوي"
"https://karazs.com/nEndVBb","https://cdn.salla.sa/DGwjPD/7a850e39-e117-44b3-8cde-d41f47f097d9-394.9785670545x500-Cre4MlYmew5ssN1gMbliaPGsZoHn6dMRbbdJuFJ7.jpg","عباية أكمام مخمل","١٦٥","٢٨٠","5","شتوي"
"https://karazs.com/gZzOqzN","https://cdn.salla.sa/DGwjPD/74c4035e-0761-4c58-8632-e09cf04b0e1c-365.60693641619x500-2zoly4F9c4MRNyeOOy8IoPo4LkW8gGYRMrv0gbxy.jpg","شامواه كحلي K6","١٥٩","٢٩٠","","تشكيلة الشتاء"
"https://karazs.com/RvaAPzw","https://cdn.salla.sa/DGwjPD/05d71b26-275e-4320-9947-b3fb3c73e74c-444.05286343612x500-PGXlWjkGmUx1LoEJFGDrzkoVF5KFmwydBKRLwRCX.jpg","عباية شهد","١٧٩","٣٥٩","","جديد"
